bhk,propertytype,location,sqft,pricepersqft,totalprice
2,Flat,Faridabad,1005,4919,4500000
3,House,Faridabad,900,5727,4000000
3,Flat,Faridabad,645,7273,5000000
2,Flat,Faridabad,608,6652,3300000
2,Flat,Faridabad,1000,7407,2800000
3,House,Faridabad,900,4720,5000000
3,House,Faridabad,803,6383,5500000
2,Flat,Faridabad,1150,5650,5800000
2,Flat,Faridabad,850,11222,6500000
2,Flat,Faridabad,1075,6222,4500000
3,Flat,Faridabad,700,4373,4000000
3,House,Faridabad,1100,5556,8000000
3,Flat,Faridabad,2270,5903,15100000
2,House,Faridabad,1350,13333,10000000
2,Flat,Faridabad,900,4091,6500000
3,Flat,Faridabad,1645,3737,10500000
2,House,Faridabad,1062,3613,6000000
2,House,Faridabad,1203,4576,13500000
3,Flat,Faridabad,2250,5778,14000000
3,Flat,Faridabad,1715,7333,7500000
2,House,Faridabad,450,3728,2500000
2,Flat,Faridabad,900,4246,8500000
3,House,Faridabad,2250,3838,30000000
2,Flat,Faridabad,1100,6627,4500000
3,Flat,Faridabad,990,4278,3700000
2,House,Faridabad,590,6840,2700000
3,Flat,Faridabad,2150,4400,13000000
3,Flat,Faridabad,2250,168675,16500000
2,Flat,Faridabad,1100,4889,5100000
3,Flat,Faridabad,1400,5333,5950000
3,Flat,Faridabad,990,7333,3800000
3,Flat,Faridabad,1660,18667,11000000
2,Flat,Faridabad,762,9016,4800000
2,Flat,Faridabad,500,4534,1100000
3,Flat,Faridabad,731,3120,5000000
3,Flat,Faridabad,1250,4474,5500000
2,House,Faridabad,166,16889,28000000
3,Flat,Faridabad,2097,19111,11000000
3,Flat,Faridabad,2250,6967,12000000
3,Flat,Faridabad,1500,5909,11000000
3,Flat,Faridabad,150,6886,2800000
3,Flat,Faridabad,1800,9259,18500000
3,Flat,Faridabad,1085,4986,6000000
3,Flat,Faridabad,800,13333,3700000
2,Flat,Faridabad,1000,8889,3120000
3,Flat,Faridabad,1520,4663,8500000
3,House,Faridabad,2250,21250,38000000
3,Villa,Faridabad,1885,4262,43000000
3,Flat,Faridabad,1200,5851,5500000
2,Flat,Faridabad,1220,4593,8500000
2,Flat,Faridabad,1100,4067,6500000
2,Flat,Faridabad,1670,4941,11500000
3,House,Faridabad,432,5848,4000000
2,House,Faridabad,702,4267,3500000
2,House,Faridabad,450,3067,6000000
2,House,Faridabad,900,2667,8000000
2,Flat,Faridabad,1201,3875,5600000
2,House,Faridabad,40,6368,850000
3,Flat,Faridabad,1525,3922,6500000
3,Flat,Faridabad,1709,14706,10000000
2,Flat,Faridabad,1045,9333,4800000
3,Flat,Faridabad,1500,3121,6100000
2,Flat,Faridabad,1962,4186,3000000
2,Flat,Faridabad,1962,2200,3500000
3,Flat,Gurgaon,2440,19467,47500000
3,Flat,Gurgaon,2360,17180,40500000
3,Flat,Gurgaon,2430,10700,26000000
3,Flat,Gurgaon,2160,13843,29900000
3,Flat,Gurgaon,1800,16667,30000000
2,Flat,Gurgaon,1450,11486,16600000
3,Flat,Gurgaon,1753,7990,14000000
3,Flat,Gurgaon,2170,19900,43099999
3,Flat,Gurgaon,1630,16564,27000000
3,Flat,Gurgaon,1800,13833,24900000
3,Flat,Gurgaon,1200,10615,21400000
3,Flat,Gurgaon,2160,12037,26000000
3,Flat,Gurgaon,1790,10435,18600000
3,Flat,Gurgaon,2327,15968,37100000
3,Flat,Gurgaon,1352,15788,42600000
3,Flat,Gurgaon,2705,22884,61900000
3,Flat,Gurgaon,1000,13677,23100000
3,Flat,Gurgaon,1359,13613,18500000
2,Flat,Gurgaon,1103,13000,14300000
3,Flat,Gurgaon,1680,14286,24000000
2,Flat,Gurgaon,1443,9807,14100000
2,Flat,Gurgaon,1431,14955,21400000
3,Flat,Gurgaon,2690,15985,43000000
2,Flat,Gurgaon,1431,14955,21400000
3,Flat,Gurgaon,1350,26565,35800000
3,Flat,Gurgaon,1610,13975,22500000
3,Flat,Gurgaon,2844,19000,54000000
3,Flat,Gurgaon,2705,22884,61900000
3,Flat,Gurgaon,2134,14254,30400000
3,Flat,Gurgaon,2790,13170,36700000
3,Flat,Gurgaon,3550,32000,113600000
3,Flat,Gurgaon,1202,23295,28000000
3,Flat,Gurgaon,2858,20500,58500000
3,Flat,Gurgaon,2863,25000,71500000
3,Flat,Gurgaon,2046,19764,51800000
3,Flat,Gurgaon,2046,19764,51800000
3,Flat,Gurgaon,2200,15500,34100000
3,Flat,Gurgaon,1150,13362,15300000
2,Flat,Gurgaon,1431,14955,21400000
3,Flat,Gurgaon,1920,19617,37600000
3,Flat,Gurgaon,2250,50000,130000000
3,Flat,Gurgaon,1550,13226,20500000
3,Flat,Gurgaon,2700,23259,62800000
3,Flat,Gurgaon,2050,19220,39400000
3,Flat,Gurgaon,2350,13887,32599999
3,Flat,Gurgaon,1600,15000,24000000
2,Flat,Gurgaon,1381,18103,25000000
3,Flat,Gurgaon,2650,20362,53900000
3,Flat,Gurgaon,4050,21927,88800000
3,Flat,Gurgaon,1633,15458,45199999
3,Flat,Gurgaon,2200,15500,34100000
3,Flat,Gurgaon,2365,15983,37800000
3,Flat,Gurgaon,1568,21156,47600000
3,Flat,Gurgaon,1000,13389,24700000
3,Flat,Gurgaon,2450,19200,47000000
2,Flat,Gurgaon,1103,13000,14300000
3,Flat,Gurgaon,2858,20603,58800000
3,Flat,Gurgaon,3015,23333,70300000
2,Flat,Gurgaon,1431,14955,21400000
3,Flat,Gurgaon,1248,31646,39400000
3,Flat,Gurgaon,1352,18000,48600000
3,Flat,Gurgaon,2705,22884,61900000
3,Flat,Gurgaon,1438,21766,31300000
3,Flat,Gurgaon,2000,14956,29900000
3,Flat,Gurgaon,1500,13942,25500000
2,Flat,Gurgaon,1366,15418,21000000
3,Flat,Gurgaon,2937,13887,40700000
3,Flat,Gurgaon,1425,13263,18900000
3,Flat,Gurgaon,986,10580,18600000
2,Flat,Gurgaon,1478,11493,16900000
3,Flat,Gurgaon,2863,25000,71500000
3,Flat,Gurgaon,2327,15968,37100000
3,Flat,Gurgaon,2100,16048,33700000
2,Flat,Gurgaon,1159,13750,15900000
3,Flat,Gurgaon,2980,20362,60599999
2,Flat,Gurgaon,1964,22000,43200000
2,Flat,Gurgaon,1431,14955,21400000
3,Flat,Gurgaon,2365,15983,37800000
3,Flat,Gurgaon,1423,13001,18500000
3,Flat,Gurgaon,1447,21424,31000000
3,Flat,Gurgaon,1425,13263,18900000
3,Flat,Gurgaon,2046,19500,51100000
3,Flat,Gurgaon,1840,13207,24300000
3,Flat,Gurgaon,2002,15418,30800000
3,Flat,Gurgaon,2705,22884,61900000
3,Flat,Gurgaon,1408,10106,33400000
3,Flat,Gurgaon,2078,18000,21000000
3,Flat,Gurgaon,2405,13001,43200000
3,Flat,Gurgaon,1423,20603,18500000
3,Flat,Gurgaon,2950,14500,60700000
3,Flat,Gurgaon,1405,23548,31100000
3,Flat,Gurgaon,1911,15500,45000000
3,Flat,Gurgaon,2335,21424,36100000
3,Flat,Gurgaon,1447,19900,31000000
3,Flat,Gurgaon,2170,16000,43099999
3,Flat,Gurgaon,2300,23200,36800000
3,Flat,Gurgaon,1000,13000,23200000
2,Flat,Gurgaon,1103,21156,14300000
3,Flat,Gurgaon,1568,19617,47600000
3,Flat,Gurgaon,1270,25028,24900000
2,Flat,Gurgaon,894,10795,22300000
3,Flat,Gurgaon,1404,189971,52900000
2,Flat,Gurgaon,1572,23200,16900000
3,Flat,Gurgaon,1695,15968,322000000
3,Flat,Gurgaon,1000,21766,23200000
3,Flat,Gurgaon,2327,22010,37100000
3,Flat,Gurgaon,1438,13263,31300000
3,Flat,Gurgaon,1769,12017,38900000
3,Flat,Gurgaon,1425,22000,18900000
3,Flat,Gurgaon,1423,10772,17100000
3,Flat,Gurgaon,2700,14272,59400000
3,Flat,Gurgaon,2408,9283,25900000
2,Flat,Gurgaon,1023,35000,14600000
3,Flat,Gurgaon,2930,15374,27200000
3,Flat,Gurgaon,2711,10192,94800000
3,Flat,Gurgaon,1579,13514,24200000
3,Flat,Gurgaon,2600,21609,26500000
3,Flat,Gurgaon,2050,24981,49900000
3,Flat,Gurgaon,1850,16486,25000000
3,Flat,Gurgaon,2781,15478,60000000
3,Flat,Gurgaon,1385,16268,66000000
3,Flat,Gurgaon,1205,22815,30200000
3,Flat,Gurgaon,2675,22071,44100000
3,Flat,Gurgaon,1557,13580,24100000
3,Flat,Gurgaon,2050,18421,33300000
3,Flat,Gurgaon,2700,15581,61600000
3,Flat,Gurgaon,2945,15015,65000000
3,Flat,Gurgaon,1240,13664,22000000
3,Flat,Gurgaon,1600,16200,35000000
3,Flat,Gurgaon,2000,17981,33500000
3,Flat,Gurgaon,1665,11042,25000000
3,Flat,Gurgaon,1149,16000,15700000
3,Flat,Gurgaon,2367,14486,27900000
2,Flat,Gurgaon,1370,17105,22100000
3,Flat,Gurgaon,2080,13178,37400000
3,Flat,Gurgaon,1824,14118,26500000
3,Flat,Gurgaon,1550,47593,20000000
3,Flat,Gurgaon,1600,14078,29000000
3,Flat,Gurgaon,1400,52941,32500000
3,Flat,Gurgaon,1800,15710,25500000
2,Flat,Gurgaon,1700,8519,24000000
3,House,Gurgaon,540,24683,25700000
3,Flat,Gurgaon,3000,15500,59900000
3,Villa,Gurgaon,1550,14000,90000000
3,Flat,Gurgaon,1600,14352,26000000
2,Flat,Gurgaon,1350,16667,11500000
2,Flat,Gurgaon,1000,9804,35000000
2,Flat,Gurgaon,1310,21622,20299999
3,Flat,Gurgaon,1944,7600,31500000
3,Flat,Gurgaon,1970,17111,31000000
3,Flat,Gurgaon,1600,18333,30000000
3,Flat,Gurgaon,1530,10542,15000000
3,Flat,Gurgaon,1500,32787,40000000
3,Flat,Gurgaon,1350,14387,19000000
3,Flat,Gurgaon,1850,32779,38500000
3,Flat,Gurgaon,2100,20068,33000000
3,Flat,Gurgaon,1660,13911,17500000
3,Flat,Gurgaon,3050,16000,100000000
3,Flat,Gurgaon,2259,12581,32500000
3,Flat,Gurgaon,1983,21028,65000000
3,Flat,Gurgaon,1800,16500,47000000
2,Flat,Gurgaon,950,19133,16600000
3,Flat,Gurgaon,2129,15243,34000000
3,House,Gurgaon,1550,21186,19500000
3,Flat,Gurgaon,2316,7073,48700000
3,Flat,Gurgaon,1650,20500,29700000
3,Flat,Gurgaon,1600,19769,34000000
3,Flat,Gurgaon,1695,14260,58000000
3,Flat,Gurgaon,1265,13421,45000000
2,Flat,Gurgaon,1230,19394,8700000
3,Flat,Gurgaon,2300,12411,54300000
3,Flat,Gurgaon,3035,17102,60000000
3,Flat,Gurgaon,1620,18889,24100000
3,Flat,Gurgaon,1800,10386,25500000
3,Flat,Gurgaon,3100,12681,64000000
3,Flat,Gurgaon,1258,16000,26000000
3,Flat,Gurgaon,1500,12600,36000000
3,Flat,Gurgaon,1500,23121,34000000
3,Flat,Gurgaon,1650,18317,25000000
3,Flat,Gurgaon,1656,12033,21000000
3,Flat,Gurgaon,1310,12000,24000000
3,Flat,Gurgaon,1950,11511,31500000
3,Flat,Gurgaon,1750,11852,60000000
3,Flat,Gurgaon,2282,10108,41800000
3,Flat,Gurgaon,1820,15301,21900000
3,Flat,Gurgaon,1150,22000,14400000
3,Flat,Gurgaon,1421,16288,25900000
2,Flat,Gurgaon,1000,20046,16000000
2,Flat,Gurgaon,973,13415,14000000
2,Flat,Gurgaon,609,18500,14000000
2,Flat,Gurgaon,1220,17941,43200000
3,Flat,Gurgaon,1895,10286,38000000
3,Flat,Gurgaon,2185,16150,43800000
3,Flat,Gurgaon,1789,11983,24000000
3,Flat,Gurgaon,1500,20181,38000000
3,Flat,Gurgaon,1935,9250,30500000
3,Flat,Gurgaon,998,19500,18000000
3,Flat,Gurgaon,2145,18200,45700000
3,Flat,Gurgaon,2295,12632,27500000
3,Flat,Gurgaon,2874,19493,58000000
3,Flat,Gurgaon,2000,11818,18500000
3,Flat,Gurgaon,1895,11429,36900000
3,Flat,Gurgaon,2002,14769,50599999
3,Flat,Gurgaon,1425,19685,18000000
3,Flat,Gurgaon,2129,8788,41500000
2,Flat,Gurgaon,1100,20000,13000000
3,Flat,Gurgaon,1400,18167,20000000
3,Flat,Gurgaon,1625,14500,24000000
2,Flat,Gurgaon,1270,16100,25000000
3,Flat,Gurgaon,1200,19972,14500000
3,Flat,Gurgaon,2250,13649,45000000
3,Flat,Gurgaon,2400,19638,43600000
3,Flat,Gurgaon,1990,14157,32000000
3,Flat,Gurgaon,1538,16174,38000000
3,Flat,Gurgaon,2128,10000,42500000
2,Flat,Gurgaon,683,8690,15000000
3,Flat,Gurgaon,2266,17571,44500000
3,Flat,Gurgaon,1150,21452,23500000
2,Flat,Gurgaon,920,17450,18600000
3,Flat,Gurgaon,1260,18405,18000000
3,Flat,Gurgaon,1496,13121,13000000
3,Flat,Gurgaon,1530,15185,34000000
3,Flat,Gurgaon,2325,16279,66500000
3,Flat,Gurgaon,1399,10667,39800000
3,Flat,Gurgaon,2282,13333,42000000
3,Flat,Gurgaon,1319,13981,24300000
3,Flat,Gurgaon,2520,20413,41000000
3,Flat,Gurgaon,1790,16796,31500000
3,Flat,Gurgaon,2250,17500,24000000
3,Flat,Gurgaon,1900,15187,28000000
3,Flat,Gurgaon,1359,14211,19000000
3,Flat,Gurgaon,1235,16939,39500000
3,Flat,Gurgaon,1650,9766,32500000
3,Flat,Gurgaon,1875,11500,42800000
2,Flat,Gurgaon,1300,24068,19800000
3,Flat,Gurgaon,1300,15498,27000000
3,Flat,Gurgaon,2107,16000,41500000
3,Flat,Gurgaon,1454,13909,14200000
3,Flat,Gurgaon,888,15995,17900000
3,Flat,Gurgaon,2920,20273,71000000
3,Flat,Gurgaon,1355,15499,21000000
3,Flat,Gurgaon,1356,17090,38000000
2,Flat,Gurgaon,1366,20682,19000000
3,Flat,Gurgaon,2282,12346,36500000
3,Flat,Gurgaon,2343,61482,47500000
3,Flat,Gurgaon,1695,14434,58900000
3,Flat,Gurgaon,1399,17000,41700000
3,Flat,Gurgaon,1800,12643,45500000
3,Flat,Gurgaon,1150,12308,20000000
3,Flat,Gurgaon,1646,13725,101199999
3,Flat,Gurgaon,1710,11608,26500000
3,Flat,Gurgaon,1350,20000,26300000
2,Flat,Gurgaon,1400,14756,17700000
3,Flat,Gurgaon,1465,9375,24000000
3,Flat,Gurgaon,1850,14962,35000000
3,Flat,Gurgaon,1512,15500,18700000
3,Flat,Gurgaon,2700,10541,68000000
3,Flat,Gurgaon,1870,13889,38700000
3,Flat,Gurgaon,950,41397,10500000
2,Flat,Gurgaon,1310,19321,19600000
3,Flat,Gurgaon,1063,14277,30099999
3,Flat,Gurgaon,1421,13736,15000000
3,Flat,Gurgaon,1800,12950,25000000
3,Flat,Gurgaon,1389,12450,57500000
3,Flat,Gurgaon,1600,9633,41000000
3,Flat,Gurgaon,1452,20028,23000000
3,Flat,Gurgaon,2730,19300,37500000
3,Flat,Gurgaon,2087,11824,30900000
3,Flat,Gurgaon,1143,18500,28300000
3,Flat,Gurgaon,800,21000,10500000
3,Flat,Gurgaon,2122,12759,42500000
3,Flat,Gurgaon,1760,21935,46500000
3,Flat,Gurgaon,1650,12109,20099999
3,Flat,Gurgaon,2250,16981,41600000
3,Flat,Gurgaon,2200,10690,46200000
3,Flat,Gurgaon,1050,11750,18500000
3,Flat,Gurgaon,3100,12346,68000000
3,Flat,Gurgaon,1288,8941,22200000
3,Flat,Gurgaon,1400,10176,31500000
3,Flat,Gurgaon,1450,9825,15500000
3,Flat,Gurgaon,2283,7567,26800000
3,Flat,Gurgaon,1611,13092,19800000
3,Flat,Gurgaon,1300,15254,13000000
2,Flat,Gurgaon,750,26074,10400000
2,Flat,Gurgaon,1425,30496,14000000
3,Flat,Gurgaon,2709,13725,20500000
3,Flat,Gurgaon,1063,23500,25400000
3,Flat,Gurgaon,1590,5200,24300000
3,Flat,Gurgaon,1250,11173,36500000
3,Flat,Gurgaon,3525,15882,107500000
3,Flat,Gurgaon,1530,10052,21000000
3,Flat,Gurgaon,2600,24205,61100000
3,Flat,Gurgaon,645,6545,5980000
3,Flat,Gurgaon,1350,15954,18000000
3,Flat,Gurgaon,1300,16000,27000000
2,Flat,Gurgaon,1550,15927,17500000
3,Flat,Gurgaon,2000,9684,70000000
3,Flat,Gurgaon,745,11934,7200000
2,Flat,Gurgaon,1310,11143,20900000
3,Flat,Gurgaon,1875,10500,33600000
3,Flat,Gurgaon,2433,23699,39500000
2,Flat,Gurgaon,1100,14444,13799999
3,Flat,Gurgaon,2430,14622,29000000
3,Flat,Gurgaon,1420,16945,19500000
3,Flat,Gurgaon,1452,19020,20299999
3,Flat,Gurgaon,2595,14904,61500000
3,Flat,Gurgaon,2025,10811,39000000
3,Flat,Gurgaon,2291,17500,33500000
3,Flat,Gurgaon,1805,14003,31500000
3,Flat,Gurgaon,2550,16909,48500000
3,Flat,Gurgaon,2250,16500,31000000
3,Flat,Gurgaon,1850,13696,20000000
3,Flat,Gurgaon,1948,34005,34000000
3,Flat,Gurgaon,1980,23478,36700000
3,Flat,Gurgaon,1650,16201,36000000
3,Flat,Gurgaon,1122,13375,28200000
3,Flat,Gurgaon,2100,19923,31500000
3,Flat,Gurgaon,1985,14124,67500000
2,Flat,Gurgaon,1380,13981,32400000
3,Flat,Gurgaon,2469,11736,40000000
2,Flat,Gurgaon,1508,14001,21200000
3,Flat,Gurgaon,1205,12500,26000000
3,Flat,Gurgaon,1350,12821,22500000
3,Flat,Gurgaon,1475,12778,27500000
3,Flat,Gurgaon,1832,10287,21500000
3,Flat,Gurgaon,2690,6972,38000000
3,Flat,Gurgaon,675,8273,14000000
3,Flat,Gurgaon,2340,11867,30000000
3,Flat,Gurgaon,1530,19417,23000000
3,Flat,Gurgaon,1100,21000,14000000
3,Flat,Gurgaon,1997,13437,31500000
3,Flat,Gurgaon,1511,13730,12500000
3,Flat,Gurgaon,1200,14825,26000000
3,Flat,Gurgaon,2200,14085,60000000
2,Flat,Gurgaon,2000,13537,42000000
3,Flat,Gurgaon,1972,13499,31600000
3,Flat,Gurgaon,1775,11528,32500000
3,Flat,Gurgaon,1855,18046,27500000
3,Flat,Gurgaon,1250,9124,24000000
3,Flat,Gurgaon,1000,26620,23000000
3,Flat,Gurgaon,1000,12000,25000000
3,Flat,Gurgaon,1500,18031,17500000
3,Flat,Gurgaon,2078,16456,37500000
2,Flat,Gurgaon,775,13932,7500000
3,Flat,Gurgaon,2200,17107,71500000
3,Flat,Gurgaon,2250,16818,29900000
3,Flat,Gurgaon,2785,54630,53099999
3,Flat,Gurgaon,1900,17252,39000000
3,Flat,Gurgaon,1615,16845,22500000
3,Flat,Gurgaon,2700,11404,55000000
3,Flat,Gurgaon,1700,6321,37000000
3,Flat,Gurgaon,1980,15000,147500000
2,Flat,Gurgaon,1565,10700,27000000
3,Flat,Gurgaon,1574,19318,47200000
3,Flat,Gurgaon,1000,11541,19500000
3,Flat,Gurgaon,2215,14275,14000000
3,Flat,Gurgaon,1600,11080,27000000
3,Flat,Gurgaon,1977,14714,27500000
3,Flat,Gurgaon,2200,23965,42500000
3,Flat,Gurgaon,1234,12647,18800000
2,Flat,Gurgaon,972,22000,18500000
2,Flat,Gurgaon,1444,17361,16000000
2,Flat,Gurgaon,1050,10840,20099999
3,Flat,Gurgaon,1750,13889,55000000
3,Flat,Gurgaon,1380,13158,21500000
3,Flat,Gurgaon,1200,8500,33000000
3,Flat,Gurgaon,1700,14595,37500000
3,Flat,Gurgaon,1190,14737,12900000
3,Flat,Gurgaon,1600,11860,25000000
3,Flat,Gurgaon,1650,11029,25000000
3,Flat,Gurgaon,1515,21605,22900000
3,Flat,Gurgaon,1400,12022,27000000
3,Flat,Gurgaon,1900,13919,28000000
3,Flat,Gurgaon,1800,14307,25500000
2,Flat,Gurgaon,1360,21448,15000000
3,Flat,Gurgaon,1620,14163,35000000
3,Flat,Gurgaon,1300,12912,22000000
3,Flat,Gurgaon,2766,12092,38500000
3,Flat,Gurgaon,1328,9804,19000000
3,Flat,Gurgaon,2238,10323,48000000
3,Flat,Gurgaon,860,16667,21500000
3,Flat,Gurgaon,1200,16961,21900000
3,Flat,Gurgaon,1830,15910,18500000
3,Flat,Gurgaon,1326,11622,13000000
2,Flat,Gurgaon,1269,9732,13100000
3,Flat,Gurgaon,1920,18088,32000000
2,Flat,Gurgaon,1286,14494,26900000
3,Flat,Gurgaon,2357,15317,37500000
3,Flat,Gurgaon,1089,19245,21500000
2,Flat,Gurgaon,1050,14890,12000000
3,Flat,Gurgaon,1710,17943,35000000
3,Flat,Gurgaon,1229,16579,30800000
3,Flat,Gurgaon,2285,8471,35000000
3,Flat,Gurgaon,2046,14614,50500000
2,Flat,Gurgaon,1000,19696,19000000
3,Flat,Gurgaon,2090,11068,37500000
3,Flat,Gurgaon,1600,14106,31500000
2,Flat,Gurgaon,503,25048,7200000
3,Flat,Gurgaon,1100,13291,21000000
3,Flat,Gurgaon,1600,10643,35000000
3,Flat,Gurgaon,2078,12037,23000000
3,Flat,Gurgaon,2623,12400,37000000
3,Flat,Gurgaon,2595,13333,65000000
3,Flat,Gurgaon,1350,11420,21000000
3,Flat,Gurgaon,1494,11316,15900000
3,Flat,Gurgaon,1620,12626,19500000
3,Flat,Gurgaon,900,34039,15500000
3,Flat,Gurgaon,1650,17309,22000000
3,Flat,Gurgaon,1620,24067,18500000
3,Flat,Gurgaon,1900,5247,21500000
3,Flat,Gurgaon,1584,9875,20000000
3,Flat,Gurgaon,1900,14000,67500000
3,Flat,Gurgaon,2282,19403,39500000
3,Flat,Gurgaon,1400,11245,8500000
2,Flat,Gurgaon,625,13429,7900000
3,Flat,Gurgaon,1825,17088,28000000
3,Flat,Gurgaon,1150,13889,26000000
3,Flat,Gurgaon,1000,9000,19200000
3,Flat,Gurgaon,1494,21285,16800000
3,Flat,Gurgaon,1450,6000,23500000
3,Flat,Gurgaon,1260,18550,23000000
3,Flat,Gurgaon,1700,17049,25000000
2,Flat,Gurgaon,800,15833,7200000
3,Flat,Gurgaon,2537,17143,54000000
2,Flat,Gurgaon,650,10270,4500000
3,Flat,Gurgaon,2000,26749,37100000
3,Flat,Gurgaon,3050,19444,52000000
3,Flat,Gurgaon,862,11341,19000000
3,Flat,Gurgaon,1575,12895,27000000
3,Flat,Gurgaon,1850,12800,19000000
3,House,Gurgaon,1800,11538,65000000
3,Flat,Gurgaon,2300,6944,70000000
3,Flat,Gurgaon,1200,24000,18600000
3,Flat,Gurgaon,1300,11594,24500000
3,Flat,Gurgaon,950,7778,16000000
2,Flat,Gurgaon,1000,11622,15000000
3,Flat,Gurgaon,1445,8840,22500000
3,Flat,Gurgaon,1800,9829,72000000
3,Flat,Gurgaon,1000,11613,20000000
2,Flat,Gurgaon,800,15394,8750000
3,Flat,Gurgaon,1560,10881,21500000
2,Flat,Gurgaon,750,10141,9750000
2,Flat,Gurgaon,1000,16429,13799999
3,Flat,Gurgaon,2368,14356,27500000
3,Flat,Gurgaon,1000,14851,26000000
3,Flat,Gurgaon,1930,6145,21000000
3,Flat,Gurgaon,1775,55556,18000000
3,Flat,Gurgaon,750,9375,23000000
3,Flat,Gurgaon,1350,52122,21000000
3,Flat,Gurgaon,1086,13001,17500000
3,Flat,Gurgaon,2020,16564,30000000
2,Flat,Gurgaon,590,12269,6759999
3,House,Gurgaon,1350,12339,75000000
3,Flat,Gurgaon,2400,21427,22500000
3,Flat,Gurgaon,2640,14721,140000000
2,Flat,Gurgaon,800,17204,12000000
3,Flat,Gurgaon,1630,6941,27000000
3,Flat,Gurgaon,1980,12560,26500000
2,Flat,Gurgaon,620,11818,8600000
3,Flat,Gurgaon,3967,17368,85000000
3,Flat,Gurgaon,1800,15347,28500000
3,Flat,Gurgaon,1090,12037,24000000
3,Flat,Gurgaon,1458,7000,13500000
3,Flat,Gurgaon,1672,17165,21000000
3,Flat,Gurgaon,1000,15130,19500000
3,Flat,Gurgaon,1700,11191,33000000
3,Flat,Gurgaon,1629,9847,25000000
2,House,Gurgaon,522,13497,6500000
2,Flat,Gurgaon,1000,13000,7000000
2,Flat,Gurgaon,1085,7200,27000000
3,Flat,Gurgaon,2082,13593,31500000
2,Flat,Gurgaon,970,11422,15500000
3,Flat,Gurgaon,1960,22662,19300000
3,Flat,Gurgaon,1300,9140,22000000
3,Flat,Gurgaon,1000,11364,19500000
3,Flat,Gurgaon,1943,10334,18000000
3,Flat,Gurgaon,1692,84444,23000000
3,Flat,Gurgaon,1751,10500,20000000
3,Flat,Gurgaon,900,11233,55000000
3,Flat,Gurgaon,645,23786,8500000
3,Flat,Gurgaon,1150,12796,17000000
3,Flat,Gurgaon,1600,13966,17000000
3,House,Gurgaon,2500,6790,380000000
3,Flat,Gurgaon,1650,25000,19600000
3,Flat,Gurgaon,1400,21667,22500000
3,Flat,Gurgaon,2985,17195,71000000
3,Flat,Gurgaon,1600,19444,33000000
3,Flat,Gurgaon,1485,26101,22500000
2,Flat,Gurgaon,810,14657,5500000
3,Flat,Gurgaon,1700,12641,57300000
3,Flat,Gurgaon,1400,9509,11500000
3,Flat,Gurgaon,2600,15759,65000000
2,Flat,Gurgaon,1210,19936,21700000
3,Flat,Gurgaon,1500,15938,35000000
3,Flat,Gurgaon,3065,13956,80000000
3,Flat,Gurgaon,1000,13441,24800000
3,Flat,Gurgaon,1000,6327,23500000
2,Flat,Gurgaon,1150,20461,15500000
3,Flat,Gurgaon,1000,14754,27500000
3,Flat,Gurgaon,1555,11830,31000000
3,Flat,Gurgaon,1385,13374,25500000
3,Flat,Gurgaon,1800,15184,32000000
2,Flat,Gurgaon,930,12385,12500000
2,Flat,Gurgaon,590,14849,6200000
3,Flat,Gurgaon,2355,10306,62100000
3,Flat,Gurgaon,1400,18781,27000000
3,Flat,Gurgaon,1000,14198,20099999
3,Flat,Gurgaon,1820,19776,32500000
3,Flat,Gurgaon,1700,11300,28500000
2,Flat,Gurgaon,1300,19697,16100000
3,Flat,Gurgaon,1000,12857,27500000
2,Flat,Gurgaon,800,11250,11800000
3,Flat,Gurgaon,3035,9389,57000000
3,Flat,Gurgaon,1620,13158,23000000
3,Flat,Gurgaon,1910,13404,26500000
3,Flat,Gurgaon,1997,21818,22500000
3,Flat,Gurgaon,1950,10176,39000000
3,Flat,Gurgaon,1400,32765,18000000
3,Flat,Gurgaon,1707,40408,22500000
3,Flat,Gurgaon,2077,18510,19500000
3,Flat,Gurgaon,1100,12000,22000000
2,Flat,Gurgaon,800,7692,12600000
3,Flat,Gurgaon,1650,14722,36000000
3,Flat,Gurgaon,1081,15625,11000000
3,Flat,Gurgaon,3052,12828,100000000
2,House,Gurgaon,1050,13457,49500000
3,Flat,Gurgaon,2951,20673,55100000
3,Flat,Gurgaon,1800,6566,24000000
2,Flat,Gurgaon,1350,59754,10000000
3,Flat,Gurgaon,1900,17989,34700000
3,Flat,Gurgaon,1920,12450,30000000
3,Flat,Gurgaon,1450,28851,18600000
3,Flat,Gurgaon,1672,15014,22500000
3,Flat,Gurgaon,2080,12667,43000000
2,Flat,Gurgaon,990,11277,6500000
3,Flat,Gurgaon,2000,22171,160500000
3,Flat,Gurgaon,1410,15476,31300000
3,House,Gurgaon,1485,31014,24900000
3,Flat,Gurgaon,3986,14100,115000000
3,Flat,Gurgaon,2531,12778,38000000
3,Flat,Gurgaon,1400,15784,19000000
3,Flat,Gurgaon,2150,14257,26500000
3,Flat,Gurgaon,2368,11239,52500000
2,Flat,Gurgaon,1260,16000,19500000
3,Flat,Gurgaon,1980,10233,61500000
3,Flat,Gurgaon,1937,18987,39000000
3,Flat,Gurgaon,1600,15039,23000000
3,Flat,Gurgaon,1774,10500,28000000
3,Flat,Gurgaon,2500,13006,35000000
3,Flat,Gurgaon,1000,21429,19500000
3,Flat,Gurgaon,1350,11745,26000000
